Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Python       |        109 |     18,383 |        573 |      4,613 |     23,569 |
| Markdown     |        177 |     15,764 |          1 |      5,874 |     21,639 |
| HTML         |          1 |        668 |          0 |         90 |        758 |
| XML          |         19 |        289 |          0 |         14 |        303 |
| YAML         |          5 |        284 |          4 |         54 |        342 |
| Shell Script |          2 |        163 |         12 |         33 |        208 |
| PowerShell   |          1 |         33 |          0 |          1 |         34 |
| JSON         |          1 |         14 |          0 |          1 |         15 |
| Ini          |          1 |          9 |          0 |          1 |         10 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        316 |     35,607 |        590 |     10,681 |     46,878 |
| . (Files)                                                                                                                         |          5 |        185 |          0 |         95 |        280 |
| .github                                                                                                                           |         28 |      1,512 |          5 |        455 |      1,972 |
| .github (Files)                                                                                                                   |          4 |        101 |          1 |         55 |        157 |
| .github\agents                                                                                                                    |          9 |      1,067 |          0 |        336 |      1,403 |
| .github\prompts                                                                                                                   |          9 |         27 |          0 |          9 |         36 |
| .github\scripts                                                                                                                   |          1 |         33 |          0 |          1 |         34 |
| .github\workflows                                                                                                                 |          5 |        284 |          4 |         54 |        342 |
| docs                                                                                                                              |        149 |     15,043 |          1 |      5,441 |     20,485 |
| docs (Files)                                                                                                                      |          8 |        631 |          0 |        284 |        915 |
| docs\_initial-build-history                                                                                                       |         95 |     10,149 |          1 |      3,465 |     13,615 |
| docs\_initial-build-history\consolidation                                                                                         |          7 |        597 |          0 |        201 |        798 |
| docs\_initial-build-history\docs                                                                                                  |         76 |      9,017 |          0 |      3,017 |     12,034 |
| docs\_initial-build-history\docs\specs                                                                                            |         76 |      9,017 |          0 |      3,017 |     12,034 |
| docs\_initial-build-history\docs\specs\cli                                                                                        |          2 |        140 |          0 |         67 |        207 |
| docs\_initial-build-history\docs\specs\core                                                                                       |          6 |        402 |          0 |        162 |        564 |
| docs\_initial-build-history\docs\specs\gui                                                                                        |         65 |      8,180 |          0 |      2,673 |     10,853 |
| docs\_initial-build-history\docs\specs\watch                                                                                      |          3 |        295 |          0 |        115 |        410 |
| docs\_initial-build-history\legacy-ui                                                                                             |          2 |         45 |          1 |         17 |         63 |
| docs\_initial-build-history\meta                                                                                                  |          6 |        219 |          0 |        117 |        336 |
| docs\_initial-build-history\misc                                                                                                  |          3 |        251 |          0 |         99 |        350 |
