"filename", "language", "YAML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\ci.yml", "YAML", 8, 0, 0, 0, 1, 9
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\README.md", "Markdown", 0, 57, 0, 0, 23, 80
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-317.md", "Markdown", 0, 89, 0, 0, 8, 97
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-318.md", "Markdown", 0, 9, 0, 0, 3, 12
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-341.md", "Markdown", 0, 42, 0, 0, 22, 64
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-342.md", "Markdown", 0, 29, 0, 0, 15, 44
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-343.md", "Markdown", 0, 169, 0, 0, 75, 244
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\cli\harite-cli-spec.md", "Markdown", 0, 40, 0, 0, 24, 64
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\core\harite-core-spec.md", "Markdown", 0, 34, 0, 0, 9, 43
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\harite-gui-spec.md", "Markdown", 0, 109, 0, 0, 30, 139
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\harite-foundation-spec.md", "Markdown", 0, 24, 0, 0, 3, 27
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\plugins\harite-plugin-spec.md", "Markdown", 0, 24, 0, 0, 0, 24
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\slideshow\harite-slideshow-spec.md", "Markdown", 0, 95, 0, 0, 42, 137
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260518-2047-feature-overview.md", "Markdown", 0, 134, 0, 0, 58, 192
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-1509-specs-checking-from-cursor.md", "Markdown", 0, 221, 0, 0, 67, 288
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-2201-pyqt6-migration-plan.md", "Markdown", 0, 281, 0, 0, 107, 388
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260530-2333-qt-backend-setup.md", "Markdown", 0, 103, 0, 0, 47, 150
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-0843-qt-phase8-3layer-audit.md", "Markdown", 0, 129, 0, 0, 49, 178
