"filename", "language", "YAML", "PowerShell", "Markdown", "JSON", "Python", "HTML", "Ini", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\.github\.copilot-instructions.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 30, 76
"c:\Users\oggy_\Develop\Repos\Harite\.github\PR_BODY.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 34
"c:\Users\oggy_\Develop\Repos\Harite\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 14, 32
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.analyze.agent.md", "Markdown", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 67, 185
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.checklist.agent.md", "Markdown", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 65, 296
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.clarify.agent.md", "Markdown", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 32, 182
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.constitution.agent.md", "Markdown", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 21, 85
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.implement.agent.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 25, 136
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.plan.agent.md", "Markdown", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 24, 91
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.specify.agent.md", "Markdown", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 63, 259
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.tasks.agent.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 29, 138
"c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.taskstoissues.agent.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 31
"c:\Users\oggy_\Develop\Repos\Harite\.github\branch-protection.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.analyze.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.checklist.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.clarify.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.constitution.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.implement.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.plan.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.specify.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.tasks.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.taskstoissues.prompt.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oggy_\Develop\Repos\Harite\.github\scripts\monitor_ci.ps1", "PowerShell", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\branch-cleanup.yml", "YAML", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 99
"c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\ci.yml", "YAML", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 91
