"filename", "language", "Ini", "pip requirements", "Markdown", "YAML", "Python", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\.github\branch-protection.json", "JSON", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\ci.yml", "YAML", 0, 0, 0, 56, 0, 0, 0, 0, 0, 3, 59
"c:\Users\oggy_\Develop\Repos\Harite\CHANGELOG.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\oggy_\Develop\Repos\Harite\docs\ci-workflows.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\oggy_\Develop\Repos\Harite\docs\dev\dev-environment.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\README.md", "Markdown", 0, 0, 53, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-317.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 8, 97
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-318.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-341.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 22, 64
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-342.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 15, 44
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-343.md", "Markdown", 0, 0, 169, 0, 0, 0, 0, 0, 0, 75, 244
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-353.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 18, 57
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-354.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 18, 56
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-358.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 18, 56
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-359.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 0, 0, 17, 51
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-380.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 15, 43
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-317.md", "Markdown", 0, 0, -89, 0, 0, 0, 0, 0, 0, -8, -97
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-318.md", "Markdown", 0, 0, -9, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-341.md", "Markdown", 0, 0, -42, 0, 0, 0, 0, 0, 0, -22, -64
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-342.md", "Markdown", 0, 0, -29, 0, 0, 0, 0, 0, 0, -15, -44
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-343.md", "Markdown", 0, 0, -169, 0, 0, 0, 0, 0, 0, -75, -244
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\issue-xxx.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 17, 45
"c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\maturation-20260609-qt-common.md", "Markdown", 0, 0, 732, 0, 0, 0, 0, 0, 0, 359, 1091
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\cli\harite-cli-spec.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\core\harite-core-spec.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\audit\p08-3layer-audit.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 51, 177
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\harite-gui-spec.md", "Markdown", 0, 0, 206, 0, 0, 0, 0, 0, 0, 67, 273
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\harite-foundation-spec.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\slideshow\harite-slideshow-spec.md", "Markdown", 0, 0, 80, 0, 0, 0, 0, 0, 0, 37, 117
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\source\harite-source-spec.md", "Markdown", 0, 0, 579, 0, 0, 0, 0, 0, 0, 261, 840
