Date : 2026-06-10 21:30:02
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 266 files,  23629 codes, -744 comments, 6695 blanks, all 29580 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        162 |     14,906 |       -762 |      3,580 |     17,724 |
| Markdown         |         91 |      6,414 |         -1 |      2,686 |      9,099 |
| HTML             |          5 |      2,011 |         11 |        221 |      2,243 |
| JSON             |          2 |        196 |          0 |        200 |        396 |
| YAML             |          1 |         56 |          0 |          3 |         59 |
| XML              |          3 |         44 |          0 |          3 |         47 |
| Ini              |          1 |          1 |          0 |          0 |          1 |
| pip requirements |          1 |          1 |          8 |          2 |         11 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        266 |     23,629 |       -744 |      6,695 |     29,580 |
| . (Files)                                                                                                            |          3 |          9 |          8 |          8 |         25 |
| .github                                                                                                              |          3 |         55 |         -1 |          3 |         57 |
| .github (Files)                                                                                                      |          2 |         -1 |         -1 |          0 |         -2 |
| .github\workflows                                                                                                    |          1 |         56 |          0 |          3 |         59 |
| docs                                                                                                                 |         93 |      8,416 |         11 |      2,901 |     11,328 |
| docs (Files)                                                                                                         |          1 |          8 |          0 |          3 |         11 |
| docs\dev                                                                                                             |          1 |         12 |          0 |          7 |         19 |
| docs\online-issues                                                                                                   |         19 |        995 |          0 |        475 |      1,470 |
| docs\online-issues (Files)                                                                                           |          8 |        475 |          0 |        263 |        738 |
| docs\online-issues\closed                                                                                            |         11 |        520 |          0 |        212 |        732 |
| docs\specs                                                                                                           |          7 |      1,037 |          0 |        429 |      1,466 |
| docs\specs (Files)                                                                                                   |          1 |         11 |          0 |          3 |         14 |
| docs\specs\cli                                                                                                       |          1 |         15 |          0 |          2 |         17 |
| docs\specs\core                                                                                                      |          1 |         20 |          0 |          8 |         28 |
| docs\specs\gui                                                                                                       |          2 |        332 |          0 |        118 |        450 |
| docs\specs\gui (Files)                                                                                               |          1 |        206 |          0 |         67 |        273 |
| docs\specs\gui\audit                                                                                                 |          1 |        126 |          0 |         51 |        177 |
| docs\specs\slideshow                                                                                                 |          1 |         80 |          0 |         37 |        117 |
| docs\specs\source                                                                                                    |          1 |        579 |          0 |        261 |        840 |
| docs\working                                                                                                         |         65 |      6,364 |         11 |      1,987 |      8,362 |
| docs\working (Files)                                                                                                 |         19 |        -81 |          0 |        -50 |       -131 |
| docs\working\design                                                                                                  |         14 |      2,655 |         11 |        488 |      3,154 |
| docs\working\finished                                                                                                |         32 |      3,790 |          0 |      1,549 |      5,339 |
| scripts                                                                                                              |          5 |         22 |        -27 |          5 |          0 |
| src                                                                                                                  |         85 |      9,066 |       -633 |      1,857 |     10,290 |
| src\harite                                                                                                           |         85 |      9,066 |       -633 |      1,857 |     10,290 |
| src\harite (Files)                                                                                                   |         24 |      4,181 |       -290 |        745 |      4,636 |
| src\harite\gui                                                                                                       |         61 |      4,885 |       -343 |      1,112 |      5,654 |
| src\harite\gui (Files)                                                                                               |          5 |         56 |        -11 |          9 |         54 |
| src\harite\gui\adapters                                                                                              |         19 |        378 |        -31 |         55 |        402 |
| src\harite\gui\adapters_qt                                                                                           |         17 |      2,325 |       -281 |        464 |      2,508 |
| src\harite\gui\controllers                                                                                           |          1 |         37 |         -3 |          1 |         35 |
| src\harite\gui\resources                                                                                             |          5 |        243 |          0 |        203 |        446 |
| src\harite\gui\resources (Files)                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src\harite\gui\resources\icons                                                                                       |          3 |         44 |          0 |          3 |         47 |
| src\harite\gui\resources\icons\lucide                                                                                |          3 |         44 |          0 |          3 |         47 |
| src\harite\gui\resources\source_presets                                                                              |          1 |        198 |          0 |        200 |        398 |
| src\harite\gui\services                                                                                              |          1 |          2 |         -2 |          0 |          0 |
| src\harite\gui\views                                                                                                 |         13 |      1,844 |        -15 |        380 |      2,209 |
| tests                                                                                                                |         77 |      6,061 |       -102 |      1,921 |      7,880 |
| tests (Files)                                                                                                        |         25 |      2,514 |         -5 |        732 |      3,241 |
| tests\cli                                                                                                            |          3 |         85 |         -5 |         20 |        100 |
| tests\core                                                                                                           |          5 |        138 |         -2 |         31 |        167 |
| tests\gui                                                                                                            |         40 |      3,308 |        -73 |      1,137 |      4,372 |
| tests\integration                                                                                                    |          1 |          4 |         -5 |          1 |          0 |
| tests\regression                                                                                                     |          1 |          1 |         -1 |          0 |          0 |
| tests\workspace                                                                                                      |          2 |         11 |        -11 |          0 |          0 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                             | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\oggy_\Develop\Repos\Harite\.github\PULL_REQUEST_TEMPLATE.md                                                 | Markdown         |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\branch-protection.json                                                   | JSON             |         -2 |          0 |          0 |         -2 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\ci.yml                                                         | YAML             |         56 |          0 |          3 |         59 |
| c:\Users\oggy_\Develop\Repos\Harite\CHANGELOG.md                                                                     | Markdown         |          7 |          0 |          6 |         13 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\ci-workflows.md                                                             | Markdown         |          8 |          0 |          3 |         11 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\dev\dev-environment.md                                                      | Markdown         |         12 |          0 |          7 |         19 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\README.md                                                     | Markdown         |         53 |          0 |         10 |         63 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\README.md                                              | Markdown         |          5 |          0 |          3 |          8 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-317.md                                           | Markdown         |         89 |          0 |          8 |         97 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-318.md                                           | Markdown         |          9 |          0 |          3 |         12 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-341.md                                           | Markdown         |         42 |          0 |         22 |         64 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-342.md                                           | Markdown         |         29 |          0 |         15 |         44 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-343.md                                           | Markdown         |        169 |          0 |         75 |        244 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-353.md                                           | Markdown         |         39 |          0 |         18 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-354.md                                           | Markdown         |         38 |          0 |         18 |         56 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-358.md                                           | Markdown         |         38 |          0 |         18 |         56 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\online-issues\closed\issue-359.md                                           | Markdown         |         34 |          0 |         17 |         51 |
