"filename", "language", "pip requirements", "Python", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\dev\dev-environment.md", "Markdown", 0, 0, 25, 0, 0, 10, 35
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\cli\harite-cli-spec.md", "Markdown", 0, 0, 45, 0, 0, 21, 66
"c:\Users\oggy_\Develop\Repos\Harite\docs\specs\core\harite-core-spec.md", "Markdown", 0, 0, 15, 0, 0, 2, 17
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-mat-10-kiriezu-source-planning.md", "Markdown", 0, 0, -225, 0, 0, -71, -296
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-1200-feature-overview.md", "Markdown", 0, 0, 2, 0, 0, 0, 2
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-02b-slideshow-remote-stability.md", "Markdown", 0, 0, -42, 0, 0, -20, -62
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-08-viper3-slideshow-op-observation.md", "Markdown", 0, 0, -83, 0, 0, -35, -118
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-15-core-geometry-audit.md", "Markdown", 0, 0, -78, 0, 0, -35, -113
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op2-observation.md", "Markdown", 0, 0, -73, 0, 0, -27, -100
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op3-observation.md", "Markdown", 0, 0, -65, 0, 0, -25, -90
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-q01-gtk-deprecation-planning.md", "Markdown", 0, 0, -254, 0, 0, -68, -322
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-v2-roadmap-op3-planning.md", "Markdown", 0, 0, -86, 0, 0, -39, -125
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260611-1200-cli-v2-roadmap.md", "Markdown", 0, 0, 220, 0, 0, 80, 300
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260611-pre-bump-cli-gatereview.md", "Markdown", 0, 0, 174, 0, 0, 61, 235
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260611-two-screen-display-params-clarification.md", "Markdown", 0, 0, 171, 0, 0, 80, 251
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260612-pre-release-housekeeping.md", "Markdown", 0, 0, 85, 0, 0, 45, 130
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 2
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-mat-10-kiriezu-source-planning.md", "Markdown", 0, 0, 225, 0, 0, 71, 296
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260609-mat-02b-slideshow-remote-stability.md", "Markdown", 0, 0, 42, 0, 0, 20, 62
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260609-mat-08-viper3-slideshow-op-observation.md", "Markdown", 0, 0, 83, 0, 0, 35, 118
